period,variable,gdp_growth,inflation,current_account,unemployment,exports_growth
6,current_account,0.0017649472686723173,0.06751303773057703,0.8402089020562873,0.08977993142375751,0.0007331815207057446
6,unemployment,0.0068454479386498976,0.019658265944784734,0.05209413335863514,0.92105333286395,0.0003488198939802064
6,exports_growth,0.04244611464918751,0.18337409983779443,0.6284995770667573,0.10323281608670397,0.04244739235955674
7,gdp_growth,0.09487215643096138,0.23181111583148842,0.49714725561306927,0.17483886888864178,0.0013306032358390426
7,inflation,0.011301329354720197,0.3412880821635374,0.4640599034336921,0.18007812127380154,0.003272563774248687
7,current_account,0.0017423250314235787,0.06853676005395143,0.8315152842031434,0.0974779926426097,0.0007276380688720426
7,unemployment,0.006840546491973879,0.019607123779562356,0.05349745451757326,0.919701499756312,0.000353375454578479
7,exports_growth,0.03407930985480777,0.1581842154166312,0.5906590587058029,0.1838391345698983,0.03323828145285979
8,gdp_growth,0.09404319447064755,0.22937395722890566,0.4997069432672882,0.17551177354877884,0.0013641314843795944
8,inflation,0.012836669275174944,0.33477524207061155,0.46010625732551813,0.18906824481274262,0.00321358651595291
8,current_account,0.001739613790271265,0.06797368688747546,0.8246267988495237,0.10493027480352901,0.0007296256692004995
8,unemployment,0.006949943400468453,0.01959844116023043,0.053647152051196634,0.9194424028058448,0.0003620605822596863
8,exports_growth,0.033482949933351096,0.1360369798317022,0.5265555801468863,0.2753713124238875,0.028553177664172952
9,gdp_growth,0.09399190552068666,0.2294950999084564,0.49948710633738036,0.17565470422253374,0.001371184010942832
9,inflation,0.012864389990238832,0.32689390947998836,0.4522092572726523,0.2048970403796771,0.0031354028774435443
9,current_account,0.0017663818264788934,0.06746246292428384,0.8184398612514516,0.11159243846719964,0.0007388555305859519
9,unemployment,0.006990381374734068,0.019888488868262954,0.05454088925978633,0.9182147054540082,0.00036553504320842886
9,exports_growth,0.030889753087120695,0.12508880280436288,0.45810801250259164,0.36105738775559426,0.02485604385033048
10,gdp_growth,0.09377559367585306,0.22893299148510135,0.49843409605817307,0.17747402907976945,0.0013832897011030105
10,inflation,0.012450123205427157,0.3160971373004826,0.442470986948831,0.22595015190138143,0.0030316006438778414
10,current_account,0.001854212577222698,0.06704380022661528,0.8133514423388241,0.11699697148039195,0.0007535733769459993
10,unemployment,0.006978186682818812,0.0199776188922303,0.056056608572106995,0.9166223330527481,0.0003652528000958357
10,exports_growth,0.02903287764323317,0.12541399027195896,0.4262123478049063,0.395881243058717,0.023459541221184432
11,gdp_growth,0.09338575605749518,0.22836622646047977,0.4951426602329538,0.18172975639170397,0.0013756008573673226
11,inflation,0.012143260534800939,0.3029520810318428,0.42914874834188615,0.25285245377078197,0.002903456320688283
11,current_account,0.0019496723995818996,0.06675249066716189,0.8089554145378106,0.12156847678925936,0.0007739456061862695
11,unemployment,0.0069759535693454154,0.02000061260714702,0.05645846838754089,0.9161950660999661,0.00036989933600038873
11,exports_growth,0.027967779163479978,0.1262050704630278,0.4258452141890119,0.39731260170855653,0.02266933447592379
