period,gdp_growth,inflation,policy_rate,lending_rate,deposit_rate,total_assets,total_loans,total_deposits,avg_car,avg_roa,stability_index,banking_stability,credit_stability,liquidity_stability
25,0.08502628725005425,0.049874286477083626,0.07232457334065256,0.12232457334065257,0.05232457334065256,175.0408755587229,152.8398324460572,141.1320417327141,0.27888863973535044,0.005170661974050207,0.7032915929175183,0.5975599296107531,0.9042480885077254,0.6433106484029982
26,0.06702279788621371,0.049113948738516953,0.06218232205088228,0.11218232205088229,0.04218232205088228,185.847188370953,163.6461452582874,148.8532909627501,0.27730961941300214,0.005240614533980998,0.6935020284010909,0.598609218009715,0.9035866687272943,0.6099411352633889
27,0.07419577758909537,0.047388251105520744,0.0631802654528288,0.1131802654528288,0.0431802654528288,198.81346464753796,176.61242153487234,157.92541598788617,0.27578011271958486,0.0061328769140679765,0.7078170113372911,0.6119931537110197,0.9684964837323344,0.5749026824439433
28,0.07838098941066281,0.05106141801081005,0.07078262172154648,0.12078262172154648,0.050782621721546475,213.68611545576883,191.48507234310324,168.6795212848706,0.2721418038576126,0.00766547041977552,0.7002034515678898,0.6349820562966328,0.9491188053168194,0.5382499581806363
29,0.07217327636571651,0.0551985401909065,0.07388444846921802,0.12388444846921802,0.05388444846921801,228.39761872553632,206.1965756128708,179.58985531096036,0.2718725032527384,0.008680147683174903,0.6971962001784782,0.6502022152476236,0.9515005239338734,0.5055505229975554
30,0.0602793906036657,0.05370331454583146,0.06569466712058003,0.11569466712058003,0.045694667120580026,241.32289668966519,219.12185357699968,188.76166116247103,0.2747436948336196,0.008305426580335496,0.6506712641291117,0.6445813987050325,0.8284761956060076,0.48098615321765475
31,0.0695764328154582,0.055155962817963734,0.07252216063467469,0.12252216063467469,0.052522160634674686,257.4810065732538,235.2799634605882,200.45020351264728,0.27498782663210414,0.00978517524832812,0.6810615792572177,0.6667776287249219,0.928229273490404,0.45293915240042587
32,0.04482031587977285,0.06043096366757013,0.06805660344124162,0.11805660344124162,0.048056603441241616,267.9039841604396,245.70294104777406,208.4450705640373,0.2820153389523445,0.00946026109824274,0.5667288999158216,0.6619039164736411,0.5709910117387584,0.4355667660157922
33,0.05742325343105802,0.057215496577939146,0.06953487158243774,0.11953487158243774,0.04953487158243773,282.47115452173335,260.2701114090678,219.01449434471033,0.28339059671842287,0.01011377997802619,0.6304503054870854,0.6717066996703929,0.7913453425008965,0.414546742895531
34,0.029728691211090327,0.055744864455935364,0.053481642289448204,0.1034816422894482,0.03348164228944821,289.33014635776476,267.1291032450992,223.50949835424464,0.29552402383017295,0.008021303415416167,0.3963839840555838,0.6403195512312425,0.061310760185342816,0.4062097850249465
35,0.04111622590108584,0.05003885687692815,0.050616398265935135,0.10061639826593513,0.030616398265935135,299.9873730151141,277.7863299024486,229.81272991637337,0.30468977078075055,0.00794686078588595,0.5183641531486036,0.6392029117882893,0.48054157114864005,0.39506839029565316
36,0.04255833807203506,0.0469239746882222,0.04666513106835083,0.09666513106835084,0.02666513106835083,311.5461665486964,289.34512343603086,236.10482688267447,0.3133338648960094,0.007688518678807491,0.5247814709715949,0.6353277801821123,0.5176278835458251,0.38453997945000806
37,0.049820409210903666,0.05224440053912557,0.05827680541414018,0.10827680541414018,0.03827680541414018,326.0847262225973,303.88368310993184,245.31167087655612,0.3204485452676392,0.01005264946504261,0.5808749292083706,0.6707897419756391,0.671755712914712,0.3701077284790044
38,0.03314140443107083,0.04760848784180101,0.04298343397823692,0.09298343397823693,0.022983433978236923,335.3263632988944,313.1253201862289,249.7284683918115,0.33334744683800716,0.007615061653092877,0.4279134855944458,0.6342259247963932,0.21718186366865427,0.3635618552509744
39,0.05000848438156963,0.04794096878421801,0.051915695367111825,0.10191569536711183,0.03191569536711182,351.1298262730395,328.928783160374,258.7098616537837,0.3409183562989173,0.009701374893503468,0.5740361806632412,0.665520623402552,0.6751526929581468,0.35094041138258814
40,0.05865388153142723,0.04724049424414713,0.0551876821319343,0.1051876821319343,0.035187682131934295,371.1126432216128,348.91160010894737,270.2268346700056,0.34447481402991753,0.010855953246377788,0.6162669600791184,0.6828392986956668,0.8077873479969329,0.33598345400590596
41,0.05339942685148435,0.04878544893164195,0.0548778868232051,0.1048778868232051,0.0348778868232051,390.1292320435641,367.92818893089867,281.07873492772734,0.34977109207729673,0.011234336323679109,0.5919978526961903,0.6885150448551867,0.7322943259268497,0.32301178992020246
42,0.0754005473428023,0.05839652995027285,0.08029506859681042,0.13029506859681042,0.060295068596810414,419.808649079324,397.6076059666585,300.8857833989373,0.34726508501772557,0.017389208477548906,0.6944035057170661,0.7808381271632335,0.9718126437519247,0.3017482057539844
43,0.06946937294025139,0.06153937955687281,0.08204375580543491,0.13204375580543493,0.062043755805434905,449.0777291494802,426.8766860368145,320.92398712571224,0.34596757198228856,0.01821686121185234,0.6803431222096852,0.7932529181777851,0.9272325293089488,0.2829073204862882
44,0.08313379055799648,0.06562930922992193,0.09501085912388113,0.14501085912388112,0.07501085912388113,487.43802231672043,465.23697920405505,347.8856014016755,0.3396817313313384,0.021696954324486057,0.6811833260433422,0.82,0.9162961408105976,0.2609816126672096
45,0.09855678720571145,0.0479641509083077,0.07622461996531726,0.12622461996531725,0.05622461996531726,537.7783994262904,515.5773563136247,378.1369469901702,0.32843808612103836,0.018170201503323248,0.638528921080237,0.7925530225498487,0.8315895589318907,0.2401028146024342
46,0.055424898245571744,0.04671007757128235,0.05277756547970939,0.1027775654797094,0.03277756547970939,567.1205713500287,544.9195282373632,393.53797376835774,0.3324088127013066,0.012672096897467344,0.5821716713450117,0.7100814534620102,0.7630905256583788,0.2307064408756465
47,0.0752208936019818,0.04871002516885106,0.06567548455426749,0.11567548455426749,0.04567548455426748,610.9608114164782,588.7597683038125,418.33655555671294,0.32966166246631173,0.016698619238003948,0.6652722442281432,0.7704792885700592,0.9732380405916158,0.2170303887421162
48,0.06665496967482433,0.06131223199980269,0.0802958328371162,0.1302958328371162,0.06029583283711619,652.3306582475784,630.129615134913,444.88916829693267,0.3295728216679614,0.021096601172837483,0.6591876305592028,0.82,0.8998815471744703,0.20407722135620565
49,0.08357380523756074,0.059218798190515676,0.08561509990455388,0.1356150999045539,0.06561509990455387,709.2855342259287,687.0844911132632,480.33197310596114,0.3234665221524321,0.023155286399447684,0.6587394903054515,0.82,0.9134462257292978,0.1890187419555406
50,0.05411288739123563,0.06132344924534165,0.07404161756363029,0.12404161756363029,0.05404161756363028,747.3163792834456,725.1153361707799,504.4980120178043,0.3282738435559917,0.020055354010835198,0.6050108941431703,0.82,0.7434051217845676,0.17996452535933322
51,0.05717957655932628,0.05510515574671915,0.06624752189974185,0.11624752189974186,0.04624752189974185,786.6097867362043,764.4087436235386,529.1515293687928,0.3334383378307798,0.01799253874059535,0.6038309047623882,0.7898880811089303,0.7880057144912476,0.171579859904806
52,0.05873636710217273,0.04962929143675413,0.05881212070621755,0.10881212070621755,0.03881212070621755,829.4412225953643,807.2401794826984,553.7015960816332,0.33808838525622725,0.016082861906432093,0.5963483044547598,0.7612429285964813,0.808864772029195,0.16397233802469618
53,0.040808527490044606,0.04501919644850465,0.042933058417779266,0.09293305841777927,0.022933058417779265,857.5405548534346,835.339511740769,567.0531971284623,0.35114540656317084,0.011460503530898846,0.46648326442193744,0.6919075529634827,0.47228929790524987,0.16011151288323136
54,0.04085028333142546,0.040617262614213834,0.036351035587033474,0.08635103558703347,0.016351035587033474,886.6592918611212,864.4582487484557,578.879513702238,0.36360703321905086,0.009592221147143585,0.45463040916796743,0.6638833172071538,0.4734164532004058,0.1568404877499473
55,0.04064508882396895,0.051912961282427436,0.05319198633562562,0.10319198633562562,0.03319198633562562,916.5830813556686,894.3820382430031,595.7318912848252,0.378400626459101,0.01511561804552934,0.4847713693728361,0.7467342706829401,0.4678551689260204,0.1524037014061799
56,0.022836513332802833,0.059481396258368416,0.05564035105395403,0.10564035105395403,0.035640351053954036,928.6875266576116,906.4864835449458,605.3168517513234,0.4013779317245618,0.01585967816284685,0.22949665789756263,0.7578951724427028,-0.3955284841079957,0.1499904471762673
57,0.05055211150492567,0.05580645294025172,0.06398573516284041,0.11398573516284041,0.043985735162840406,970.6973642285402,948.4963211158749,631.0032040701011,0.40892704964534743,0.018691798979789703,0.5687650625647506,0.8003769846968455,0.6848294678429938,0.14388476111038082
58,0.04206728953066683,0.054042493061811366,0.05709738435805045,0.10709738435805045,0.03709738435805045,1005.1270762808423,982.9260331681769,651.3230997692899,0.42307063800995937,0.016582603857774002,0.5008999576433185,0.7687390578666101,0.505285252459747,0.1393958625291677
59,0.04893944983347329,0.05470741082805515,0.06153084115881936,0.11153084115881937,0.04153084115881936,1048.8029234608687,1026.6018803482034,677.3219512069317,0.43344810176089715,0.018185982539476002,0.5539783721672098,0.79278973809214,0.6554964062096753,0.13404518355817047
60,0.05041665933077975,0.04550377804445461,0.04846399673207178,0.09846399673207179,0.02846399673207178,1101.1139266190446,1078.9128835063789,700.7338051426574,0.44203440720299597,0.014192807362867689,0.5367582109980904,0.7328921104430154,0.6824378866565013,0.12956666941311284
61,0.07494715783646705,0.046594042844911254,0.0623646431856004,0.11236464318560041,0.042364643185600404,1187.5641519687701,1165.3631088561049,743.5767035275825,0.43977801527930505,0.019464715964330376,0.6537918006460457,0.8119707394649557,0.9745769646370187,0.12210138489652599
62,0.04185410620911163,0.045932101877171894,0.04482520592031365,0.09482520592031365,0.02482520592031365,1235.0793890869913,1212.8783459743256,762.8322825075928,0.45188638725925223,0.013529241907309905,0.4748322364464408,0.7229386286096486,0.4998366749209542,0.11901927508765026
63,0.07309163839485076,0.04208929268692851,0.05467975822781814,0.10467975822781814,0.034679758227818144,1329.5875688831084,1307.3865257704435,805.408385499481,0.4477561210821294,0.01758443449214915,0.6351252339887573,0.7837665173822372,0.9593345013433136,0.11272758877622818
64,0.08804337270649655,0.043023126277832495,0.06355637576999701,0.11355637576999701,0.043556375769997005,1454.7060005760788,1432.5049574634133,863.5692494654272,0.43936866944712594,0.021541604640369888,0.6253741534238562,0.82,0.8861117238774241,0.10513545420209662
65,0.08599755640006254,0.04053760523122529,0.058805186046869205,0.1088051860468692,0.03880518604686921,1588.3132942068762,1566.1122510942105,922.4652233600593,0.43062711091563194,0.02027826619089867,0.6270080885765249,0.82,0.898270682141932,0.09842294644648433
66,0.08285652786352493,0.04726780331961521,0.06732996891118528,0.11732996891118529,0.04732996891118528,1728.531995658865,1706.3309525461993,986.9918564504712,0.4225777184096653,0.02425886275988828,0.6310287466745839,0.82,0.9181074794024754,0.09198834284613715
67,0.07180829749279927,0.05013657104425019,0.06610900531277492,0.11610900531277492,0.04610900531277491,1858.8861716967344,1836.6851285840698,1046.7059895786047,0.41978833072061117,0.024184412794563463,0.6385215760286276,0.82,0.9483314732254657,0.08674044686995949
68,0.08361264632163737,0.05100502608382044,0.07331386228654933,0.12331386228654934,0.05331386228654933,2024.981573288237,2002.780530175572,1123.688125445983,0.41063114131806694,0.02774319579345454,0.626198227317998,0.82,0.9131960980746384,0.0807979929853551
69,0.0388822398544217,0.05491996255950004,0.05682106376646091,0.10682106376646092,0.03682106376646091,2099.5626360528604,2077.361592940195,1156.8552679695185,0.42364685777866,0.020791070182678343,0.4768422321187795,0.82,0.4176592663261248,0.07848150740314006
70,0.06353683601607209,0.05376613045605704,0.0674176136921216,0.1174176136921216,0.047417613692121593,2237.8276801534025,2215.6266370407375,1219.9481594715126,0.4242051067636219,0.0257379510620658,0.6103516182494235,0.82,0.8667494351053784,0.07442262572603313
71,0.05854076608659742,0.05772463679293088,0.07085733823269502,0.12085733823269502,0.05085733823269502,2372.131608861622,2349.930565748957,1283.7042142414975,0.4301968423897937,0.027506718209448368,0.5911093826241756,0.82,0.8063049007005991,0.07072637471331934
72,0.05833576295523593,0.050139325111752266,0.059376869145246355,0.10937686914524636,0.03937686914524635,2514.0037067852304,2491.802663672565,1343.2129481866662,0.43412437706692203,0.02267857843005247,0.5893589567075573,0.82,0.8036035577432862,0.06759296461523841
73,0.05383942681645321,0.057597661975814604,0.0683162063719485,0.1183162063719485,0.0483162063719485,2651.117257341149,2628.916214228482,1406.6524184042091,0.4421372355844344,0.026955630927728416,0.5691177530556649,0.82,0.7391812949938743,0.0645445485250087
74,0.048894576549266405,0.05439168632533428,0.06103481776263463,0.11103481776263463,0.04103481776263462,2780.31647626009,2758.1154331474245,1462.4023723383182,0.45034224204752493,0.023830583668473855,0.5430209489735662,0.82,0.6546525263971192,0.06208397018143458
75,0.04204816330385292,0.05262841078827936,0.05496669783434549,0.1049666978343455,0.034966697834345487,2893.409347302442,2871.208304189775,1507.9150828388626,0.4632704097923238,0.021204581174826546,0.4975026385231326,0.82,0.5047986769406264,0.060210118136482235
76,0.03742237333001811,0.04945968331235334,0.04790071163353907,0.09790071163353907,0.027900711633539067,2995.344955211969,2973.1439120993036,1543.93654207313,0.47938226657930577,0.01806481842748386,0.4457837569172342,0.7909722764122579,0.3725107937928795,0.05880536071489064
77,0.053116599621672686,0.04893448018789326,0.054960020092676226,0.10496002009267623,0.03496002009267622,3156.389042175183,3134.187999062517,1605.652764815268,0.4895075950545556,0.021677142245158838,0.5633056847869005,0.82,0.7278072143074636,0.05654506831553769
78,0.050884661873422644,0.04966819115482382,0.05494461766894705,0.10494461766894705,0.03494461766894705,3317.8374594365982,3295.6364163239327,1666.9566489257427,0.4976796574560452,0.021910532618488566,0.5515337911588069,0.82,0.6906470664590627,0.054465570736960296
79,0.07062371392459763,0.0443142215240885,0.056783189248431565,0.10678318924843157,0.03678318924843156,3564.9631309473866,3542.7620878347216,1758.4568424891613,0.4954775986633889,0.023176251499151004,0.6248355233518864,0.82,0.9378202554166881,0.051631489089599844
80,0.04958622557470103,0.05285948963337104,0.05908234723740706,0.10908234723740706,0.039082347237407056,3741.9876524502347,3719.7866093375696,1827.4062062234914,0.5065670119684382,0.02453374901943435,0.5431519918551546,0.82,0.6674899106868285,0.049683395497020395
81,0.04744507674611198,0.06474902453653056,0.07584607517785183,0.12584607517785185,0.055846075177851826,3918.386202296695,3896.18515918403,1911.2459564461128,0.5193612504789197,0.03303106064686643,0.5302116536174915,0.82,0.6265348886291421,0.047503956762495934
82,0.060705137337881056,0.06000171931604808,0.07535514764301264,0.12535514764301264,0.05535514764301264,4164.588282766568,4142.387239653903,2018.7376469858082,0.521808546891357,0.032978496268339444,0.5916059041299288,0.82,0.8337118327476508,0.04497451435211166
83,0.07586706961658463,0.05472636038665514,0.07502307538827502,0.125023075388275,0.055023075388275014,4501.037610481524,4478.8365673688595,2156.42603859691,0.5182959716413644,0.03315362822900997,0.631073679675831,0.82,0.9681427195938902,0.042102879325546204
84,0.080681402589053,0.05296546019900719,0.07478889159303728,0.12478889159303728,0.05478889159303728,4890.4559856269525,4868.254942514287,2311.5583959523597,0.510670722948112,0.033418344809998474,0.6196079920094575,0.82,0.9327493518451262,0.039277288186399126
85,0.08367312099271909,0.0441598310987415,0.0630763071444718,0.1130763071444718,0.04307630714447179,5331.0528984222565,5308.851855309593,2469.8461720335317,0.502250863046079,0.027749813237824786,0.6128701594944606,0.82,0.9128071173407734,0.036760080974095055
