year,gdp,gdp_per_capita,population,emissions,temperature,co2_concentration,sea_level_rise,total_damages,damage_share,extreme_weather,renewable_share,carbon_price
2043.0,5155769570.371032,25.10374274204813,205378521.57540035,1.244705289438004,1.6251294933441272,527.7312580541419,0.38759064534088905,137809484.77118957,0.027090972776285596,1.6268403504073596,0.4,24.066192336910856
2044.0,5225831837.931938,25.192950504057094,207432306.79115435,1.2363220089088134,1.6474629037514608,527.5691356241666,0.4032240326260226,142319070.61760193,0.027603846268746266,1.6394939625030773,0.4,25.269501953756404
2045.0,5297144089.023001,25.2838971854321,209506629.8590659,1.2280600619073379,1.6693224838805252,527.4036164463905,0.41852573871636767,146913362.7368066,0.02811291432503229,1.6520167030919133,0.4,26.53297705144422
2046.0,5369750654.036904,25.37669003388377,211601696.15765655,1.2199219327468058,1.6907171553602416,527.2347689054424,0.43350200875216915,151593193.3246182,0.028617910099662375,1.6644063625677785,0.4,27.859625904016436
2047.0,5443698417.570717,25.471442390615874,213717713.11923313,1.2119102211358455,1.7116556722545,527.0626624026598,0.44815897057815,156359561.28505582,0.029118588805889314,1.6766608695857594,0.4,29.25260719921726
2048.0,5519037008.491719,25.568274140506023,215854890.25042546,1.2040276531487986,1.732146624593887,526.8873674124318,0.46250263721572094,161213637.4868634,0.029614726077864903,1.688778288853364,0.4,30.715237559178124
2049.0,5595819002.680613,25.667312182325226,218013439.15292972,1.1962770921358707,1.7521984418478405,526.7089555434984,0.47653890929348836,166156771.16039258,0.03010611650270507,1.700756818839876,0.4,32.250999437137025
2050.0,5674100139.354706,25.7686909205325,220193573.54445902,1.1886615496251833,1.771819396339259,526.5274996051918,0.49027357743748134,171190497.40604123,0.030592572298002205,1.712594789413447,0.4,33.86354940899388
2051.0,5753939551.895186,25.872552780071494,222395509.27990362,1.1811841962579668,1.7910176066035548,526.3430736786174,0.5037123246224884,176316545.80175835,0.031073922114777865,1.7242906594152023,0.4,35.55672687944358
2052.0,5835400014.126659,25.979048745500517,224619464.37270266,1.173848372789077,1.8098010406941052,526.1557531927924,0.5168607284858737,181536850.11035985,0.03155000994936881,1.7358430141793093,0.4,37.334563223415756
2053.0,5918548203.022503,26.088338925698224,226865659.0164297,1.1666576011772287,1.8281775194360266,525.9656150057673,0.5297242636052186,186853559.09829217,0.0320206941505204,1.7472505630076025,0.4,39.20129138458655
2054.0,6003454978.835302,26.200593145300736,229134315.606594,1.1596155957824201,1.8461547196301622,525.7727374907678,0.5423083037411136,192269048.48655364,0.03248584651019064,1.7585121366070247,0.4,41.161355953815885
2055.0,6090195683.67671,26.31599156393695,231425658.76265994,1.1527262746817228,1.863740177209149,525.5772006273959,0.5546181240464043,197785934.0621255,0.032945351428369817,1.7696266844977981,0.4,43.21942375150668
2056.0,6178850459.594612,26.434725324234346,233739915.35028654,1.1459937711087078,1.8809412903473999,525.3790860979348,0.5666589032431799,203407085.98475146,0.033399105143687706,1.7805932723999014,0.4,45.38039493908201
2057.0,6269504587.216657,26.55699722946493,236077314.50378942,1.1394224450161057,1.8977653225268094,525.1784773887986,0.5784357257687667,209135644.32943186,0.03384701502278355,1.7914110796050857,0.4,47.64941468603611
2058.0,6362248846.047237,26.68302245158746,238438087.6488273,1.133016894755741,1.9142194055599697,524.9754598971674,0.5899535838919788,214975035.9097106,0.034288998902407476,1.8020793963413357,0.4,50.031885420337915
2059.0,6457179897.518874,26.813029270315308,240822468.52531558,1.1267819688642613,1.9303105425726454,524.7701210428421,0.6012173798008518,220928992.43082857,0.03472498447904756,1.8125976211363435,0.4,52.53347969135482
2060.0,6554400691.908051,26.947259843698262,243230693.21056873,1.120722777937593,1.9460456109472395,524.5625503853443,0.6122319276630677,227001570.02515155,0.03515490874156616,1.8229652581862381,0.4,55.160153675922565
2061.0,6654020900.228748,27.085971010548082,245663000.14267442,1.1148447065714115,1.9614313652289437,524.3528397462768,0.6230019556602606,233197170.22500643,0.035578717442909406,1.833181914735492,0.4,57.918161359718695
2062.0,6756157372.213745,27.22943512486276,248119630.14410117,1.1091534253391102,1.976474439996241,524.1410833369473,0.6335321079973688,239520562.43018106,0.03599636460744314,1.8432472984736048,0.4,60.81406942770463
2063.0,6860934621.482999,27.377940922209774,250600826.4455422,1.1036549027728602,1.9911813526973907,523.9273778912398,0.6438269468881735,245976907.9288797,0.03640781207088462,1.8531612149538501,0.4,63.854772899089866
2064.0,6968485338.979638,27.5317944178154,253106834.70999762,1.0983554173073107,2.005558506454492,523.7118228037004,0.6538909545181444,252571785.5318603,0.0368130290501539,1.8629235650390676,0.4,67.04751154404435
2065.0,7078950935.7264,27.69131983587462,255637903.0570976,1.0932615691393448,2.019612192836684,523.4945202727848,0.6637285349856787,259311218.8798057,0.037211991740772665,1.8725343423791703,0.4,70.39988712124658
2066.0,7192482115.918216,27.856860569344615,258194282.0876686,1.0883802919511005,2.033348594603993,523.2755754491835,0.673344016222795,266201705.48368216,0.03760468293969975,1.88199363092474,0.4,73.9198814773089
2067.0,7309239481.319568,28.0287801692157,260776224.9085453,1.0837188644372773,2.0467737884232964,523.0550965891215,0.6827416518963074,273250247.5568917,0.03799109169171812,1.891301602480797,0.4,77.61587555117435
2068.0,7429394167.878017,28.207463361968372,263383987.15763074,1.079284921571588,2.059893747557816,522.8331952124928,0.6919256232904711,280464384.69642276,0.03837121295768371,1.9004585143045196,0.4,81.49666932873309
2069.0,7553128515.397591,28.393317093625857,266017827.02920705,1.0750864655412735,2.0727143445315,522.6099862656597,0.7009000411720501,287852228.4679335,0.03874504730311675,1.9094647067504262,0.4,85.57150279516975
2070.0,7680636771.038108,28.58677159850281,268678005.2994991,1.071131876272863,2.0852413537695957,522.385588288711,0.709668947638717,295422498.94675547,0.03911260060576431,1.9183206009662306,0.4,89.85007793492824
2071.0,7812125827.319167,28.788281490435352,271364785.35249406,1.0674299214670975,2.0974804542166345,522.1601235869344,0.7182363179516442,303184563.26320857,0.03947388378089261,1.927026696642311,0.4,94.34258183167465
2072.0,7947815995.211432,28.998326873961755,274078433.206019,1.063989766056196,2.109437231932997,521.93371840622,0.7266060623530979,311148476.1963812,0.039828912523181395,1.9355835698174566,0.4,99.0597109232584
2073.0,8087941812.794375,29.217414472612617,276819217.5380792,1.060820980992639,2.121117182671129,521.7065031120679,0.7347820278697902,319325022.8557102,0.040177707064192714,1.9439918707432804,0.4,104.01269646942131
2074.0,8232752889.85045,29.446078771171884,279587409.71345997,1.0579335512755583,2.1325257144324046,521.4786123718312,0.7427680001026833,327725763.4843505,0.04052029194447451,1.9522523218094197,0.4,109.21333129289238
2075.0,8382514788.65309,29.68488316849367,282383283.81059456,1.0553378831188593,2.1436681500055395,521.2501853397816,0.7505677050038777,336363080.41255605,0.04085669579943704,1.9603657155313765,0.4,114.673997857537
2076.0,8537509941.092771,29.934421137214176,285207116.64870054,1.053044810164559,2.154549729487353,521.0213658445397,0.7581848106411471,345250227.1832204,0.04118695115820911,1.9683329126025904,0.4,120.40769775041386
2077.0,8698038602.174988,30.195317386493013,288059187.8151875,1.051065598645707,2.165175612786581,520.7923025783696,0.7656229289506068,354401379.86549497,0.041511094254741546,1.9761548400120652,0.4,126.42808263793455
2078.0,8864419839.820387,30.46822902376496,290939779.6933394,1.049411951405937,2.175550882111327,520.5631492877952,0.7728856174779288,363831690.5662143,0.041829164850479786,1.9838324892286274,0.4,132.7494867698313
2079.0,9036992560.804838,30.75384671139325,293849177.4902728,1.0480960106872912,2.1856805444406215,520.3340649649549,0.779976381108435,373557343.14291525,0.04214120606797482,1.991366914452624,0.4,139.38696110832285
2080.0,9216116572.60092,31.052895814099514,296787669.2651755,1.0471303596047354,2.195569533980446,520.1052140390742,0.7868986737863122,383595611.11680865,0.042447264234844684,1.9987592309356248,0.4,146.356309163739
2081.0,9402173680.827463,31.366137533115932,299755545.95782727,1.0465280222348596,2.20522271460444,519.8767665674073,0.7936559002231081,393964917.77942044,0.042747388737536106,2.0060106133684448,0.4,153.67412462192596
2082.0,9595568821.986166,31.694370023171984,302753101.41740555,1.0463024622577628,2.2146448822793965,519.6488984249663,0.8002514175955775,404684898.4830899,0.04304163188437023,2.013122294337558,0.4,161.35783085302225
2083.0,9796731231.169483,32.03842948870074,305780632.4315796,1.0464675801051437,2.223840767475507,519.4217914923408,0.806688537232855,415776465.10342264,0.04333004877738576,2.0200955628497335,0.4,169.4257223956734
2084.0,10006115644.467934,32.39919125603638,308838438.7558954,1.0470377085841562,2.232815037561194,519.1956338408984,0.812970526292836,427261872.66150534,0.043612697192520714,2.026931762924508,0.4,177.89700851545706
