period,gdp,consumption,investment,government_spending,savings,unemployment_rate,inflation_rate,total_loans,total_deposits,avg_lending_rate,tax_revenue,public_debt,total_profits,avg_productivity,avg_technology
21,1.3388154343553598e+233,82403725.31546907,1.3388154343553598e+233,14040000.0,188738905.82029715,0.0,0.0,959102699.5116348,2136945312.6578734,0.11000000000000001,8400000.0,124080000.0,,3.1541199874431207,0.9991239045844018
22,1.3388154343553598e+233,82649148.80698231,1.3388154343553598e+233,14040000.0,191859493.81620964,0.0,0.0,939920645.5214021,2136945312.6578734,0.11000000000000001,8400000.0,129720000.0,,3.3178064445389768,0.9992711719810907
23,1.3388154343553598e+233,82876347.5519553,1.3388154343553598e+233,14040000.0,194752883.06715015,0.0,0.0,921122232.6109741,2136945312.6578734,0.11000000000000001,8400000.0,135360000.0,,3.4798470564730017,0.9997355859905454
24,1.3388154343553598e+233,83086684.47813325,1.3388154343553598e+233,14040000.0,197435935.39191172,0.0,0.0,902699787.9587547,2136945312.6578734,0.11000000000000001,8400000.0,141000000.0,,3.6457934922232216,0.9999355859905453
25,1.3388154343553598e+233,83281434.44896848,1.3388154343553598e+233,14040000.0,199924237.74583867,0.0,0.0,884645792.1995795,2136945312.6578734,0.11000000000000001,8400000.0,146640000.0,,3.8161484680753954,0.9999355859905453
26,1.3388154343553598e+233,83461772.37095459,1.3388154343553598e+233,14040000.0,202232202.17777976,0.0,0.0,866952876.355588,2136945312.6578734,0.11000000000000001,8400000.0,152280000.0,,4.003548433213374,0.9999355859905453
27,1.3388154343553598e+233,83628780.35003667,1.3388154343553598e+233,14040000.0,204373158.6306381,0.0,0.0,849613818.8284762,2136945312.6578734,0.11000000000000001,8400000.0,157920000.0,,4.193658928253635,0.9999355859905453
28,1.3388154343553598e+233,83783460.62014617,1.3388154343553598e+233,14040000.0,206359434.8133867,0.0,0.0,832621542.4519067,2136945312.6578734,0.11000000000000001,8400000.0,163560000.0,,4.4030670000474545,0.9999355859905453
29,1.3388154343553598e+233,83926742.43235204,1.3388154343553598e+233,14040000.0,208202429.1839297,0.0,0.0,815969111.6028686,2136945312.6578734,0.11000000000000001,8400000.0,169200000.0,,4.629410482795181,0.9999355859905453
30,1.3388154343553598e+233,84059480.71089886,1.3388154343553598e+233,14040000.0,209912685.27592632,0.0,0.0,799649729.3708111,2136945312.6578734,0.11000000000000001,8400000.0,174840000.0,,4.8654020903817905,0.9999677929952727
31,1.3388154343553598e+233,84182115.03398809,1.3388154343553598e+233,14040000.0,211500307.04483435,0.0,0.0,783656734.7833949,2136945312.6578734,0.11000000000000001,8400000.0,180480000.0,,5.114623498075913,0.9999677929952727
32,1.3388154343553598e+233,84296107.86737457,1.3388154343553598e+233,14040000.0,212973935.98035467,0.0,0.0,767983600.0877271,2136945312.6578734,0.11000000000000001,8400000.0,186120000.0,,5.359416300603398,0.9999677929952727
33,1.3388154343553598e+233,84401740.5572074,1.3388154343553598e+233,14040000.0,214341932.22604227,0.0,0.0,752623928.0859725,2136945312.6578734,0.11000000000000001,8400000.0,191760000.0,,5.6052178291606305,0.9999677929952727
34,1.3388154343553598e+233,84499643.5962544,1.3388154343553598e+233,14040000.0,215612025.4326834,0.0,0.0,737571449.524253,2136945312.6578734,0.11000000000000001,8400000.0,197400000.0,,5.895703447846999,1.0
