period,output,consumption,interest_rate,inflation,wage,wealth_gini,income_gini
44,1.2366763896294866,0.8655050579625849,0.06493601749465677,0.01122677635750903,0.9997596833965907,0.1,0.3031304669102754
45,1.2325994535058173,0.8649679698608824,0.058064794012169595,0.010581672033548288,0.9997596833965907,0.1,0.3031304669102754
46,1.2344254255026132,0.8647939354590719,0.053208015417979655,0.011563393334556764,0.9997596833965907,0.1,0.3031304669102754
47,1.2356405395390113,0.8648248239027192,0.053537654345939954,0.010452902931307502,0.9997596833965907,0.1,0.3031304669102754
48,1.2225182964776655,0.8630124206290486,0.0643103851771495,0.0033094165640786943,0.9997596833965907,0.1,0.3031304669102754
49,1.2260476315635669,0.8620566049221383,0.046957457883979314,0.0023130109860057314,0.9997596833965907,0.1,0.3031304669102754
50,1.2194539391927615,0.8603688354246973,0.046026772363427,-3.16396724919801e-05,0.9997596833965907,0.10293072473298681,0.3045958292767688
51,1.2389776083862691,0.8617519335138356,0.03450953812195413,0.0035794497810516207,0.9997596833965907,0.10293072473298681,0.3045958292767688
52,1.2444567016353167,0.8636254850400129,0.04548309312406119,0.004548600555522605,0.9997596833965907,0.10293072473298681,0.3045958292767688
53,1.2544083052631951,0.8665175507688577,0.05903501993472821,0.007965954274912984,0.9997596833965907,0.10293072473298681,0.3045958292767688
54,1.2559066020075769,0.8690409648961469,0.06902497866750122,0.014009586509011343,0.9997596833965907,0.10293072473298681,0.3045958292767688
55,1.2506733786481266,0.8703270449276552,0.08335436744822795,0.01381017948331349,0.9997596833965907,0.10293072473298681,0.3045958292767688
56,1.2402592559349956,0.8698979317730235,0.0670359225294151,0.012479931153025235,0.9997596833965907,0.10293072473298681,0.3045958292767688
57,1.2418115563361325,0.8697719633054775,0.06701304502912726,0.013736518772468174,0.9997596833965907,0.10293072473298681,0.3045958292767688
58,1.2549770594754286,0.871514358970942,0.06788258148966624,0.015648481660810298,0.9997596833965907,0.10293072473298681,0.3045958292767688
59,1.258547345006872,0.8734081154777157,0.08955938574165995,0.01667399344696538,0.9997596833965907,0.10293072473298681,0.3045958292767688
60,1.260328652659953,0.875172503754566,0.07356277607743807,0.019094374014366068,0.9997596833965907,0.11007072967390773,0.3081658317472293
61,1.2563788162687253,0.8760310372812743,0.08562118120286934,0.01857712372921512,0.9997596833965907,0.11007072967390773,0.3081658317472293
62,1.2490871031225188,0.8756970242621721,0.07333543427165577,0.0198402345741509,0.9997596833965907,0.11007072967390773,0.3081658317472293
63,1.2345323230244831,0.8733921446331654,0.0809644749425007,0.015802576079189334,0.9997596833965907,0.11007072967390773,0.3081658317472293
64,1.2250518343613597,0.8702209725171227,0.06990372815292259,0.010621436645106674,0.9997596833965907,0.11007072967390773,0.3081658317472293
65,1.2139282659482538,0.8661267352464538,0.05664194785320246,0.004685529846972114,0.9997596833965907,0.11007072967390773,0.3081658317472293
66,1.2261772697865172,0.8645662059672755,0.045690189206054665,0.004914576344362969,0.9997596833965907,0.11007072967390773,0.3081658317472293
67,1.2169926104100504,0.8620319302312275,0.041361398065706004,0.0017537728131299915,0.9997596833965907,0.11007072967390773,0.3081658317472293
68,1.223255144233442,0.8608812643776639,0.04231813084210405,0.007746396766102554,0.9997596833965907,0.11007072967390773,0.3081658317472293
69,1.23509660421324,0.8616185360919848,0.054158946843090486,0.009036372295175161,0.9997596833965907,0.11007072967390773,0.3081658317472293
70,1.231245569346849,0.8616692085821467,0.06131328008755689,0.008608570218588886,0.9997596833965907,0.10234247752853201,0.3043017056745414
71,1.2260786949352092,0.8609863841566466,0.054669090653396916,0.005692769194454316,0.9997596833965907,0.10234247752853201,0.3043017056745414
72,1.207609491517107,0.8578544361377124,0.06095012939483256,0.000348876017674876,0.9997596833965907,0.10234247752853201,0.3043017056745414
73,1.204940541708838,0.8549752247494072,0.025708294850142588,-0.003238431872726518,0.9997596833965907,0.10234247752853201,0.3043017056745414
74,1.1964803577599974,0.8514874298859255,0.027606034519266257,-0.011424685718131546,0.9997596833965907,0.10234247752853201,0.3043017056745414
75,1.1923399736681626,0.8481175402222831,0.014880236936354587,-0.01630294008026165,0.9997596833965907,0.10234247752853201,0.3043017056745414
76,1.1894012908266245,0.8450102128935539,0.002659490332796392,-0.016580600233482685,0.9997596833965907,0.10234247752853201,0.3043017056745414
77,1.1730210538787222,0.8402311178578643,0.003950897404357235,-0.024691259654647732,0.9997596833965907,0.10234247752853201,0.3043017056745414
78,1.1870545998401485,0.8383725382639122,-0.021627391817445125,-0.02889859660107817,0.9997596833965907,0.10234247752853201,0.3043017056745414
79,1.1962103306472744,0.8381674769017483,-0.019256849873541662,-0.026290644677386562,0.9997596833965907,0.10234247752853201,0.3043017056745414
80,1.1960556032254737,0.8379817659729649,-0.01693102728508362,-0.027184275716664905,0.9997596833965907,0.1,0.30103505951167286
81,1.2033111780138719,0.838848977700314,-0.0035073987937280886,-0.02760932352568478,0.9997596833965907,0.1,0.30103505951167286
82,1.2270129401839474,0.8428609937860039,-0.005358968750691212,-0.01753035940792907,0.9997596833965907,0.1,0.30103505951167286
83,1.2222806234382264,0.8454080823101549,0.007326137853891913,-0.011162189643971941,0.9997596833965907,0.1,0.30103505951167286
84,1.2273020733772022,0.8481487561209322,0.019004777633170558,-0.006462399469610057,0.9997596833965907,0.1,0.30103505951167286
85,1.2267879304802003,0.8502693151639737,0.02700808129848411,-0.01132994250136271,0.9997596833965907,0.1,0.30103505951167286
86,1.2243947739195848,0.8516307204799209,0.019009976399909957,-0.011334847795887469,0.9997596833965907,0.1,0.30103505951167286
87,1.2104652007493564,0.8507697044888467,0.03131028558687358,-0.013125480688138073,0.9997596833965907,0.1,0.30103505951167286
88,1.2266427315664181,0.852345746010376,0.015395027289975553,-0.012418757754873777,0.9997596833965907,0.1,0.30103505951167286
89,1.2268921070213084,0.8536414917912841,0.0282553284950334,-0.01095442797338525,0.9997596833965907,0.1,0.30103505951167286
90,1.2290048112762484,0.8549738670117022,0.02704816103388309,-0.008650728182856476,0.9997596833965907,0.10069802084990019,0.301384069936623
91,1.2300508216024721,0.856186208633708,0.027126883284635514,-0.004257926794112046,0.9997596833965907,0.10069802084990019,0.301384069936623
92,1.2174789024552928,0.8553960132507074,0.043998108203308996,-0.0013121931290747063,0.9997596833965907,0.10069802084990019,0.301384069936623
93,1.2170244792607439,0.85470023769707,0.025589565791981808,-0.0024506171073787634,0.9997596833965907,0.10069802084990019,0.301384069936623
94,1.2119063541377997,0.8534270797369481,0.034860668654304025,-0.006090633876381977,0.9997596833965907,0.10069802084990019,0.301384069936623
95,1.2076333891559137,0.8518103382713864,0.02342352492207049,-0.0075669846712746605,0.9997596833965907,0.10069802084990019,0.301384069936623
96,1.202752272289052,0.8498335887375765,0.023693055109996083,-0.00969278003764541,0.9997596833965907,0.10069802084990019,0.301384069936623
97,1.2134169842498725,0.8497452487850434,0.01823074382846184,-0.00911563330913905,0.9997596833965907,0.10069802084990019,0.301384069936623
98,1.2092847934242517,0.84909607010743,0.01782891267564063,-0.009485700913012384,0.9997596833965907,0.10069802084990019,0.301384069936623
99,1.210958616143521,0.8488110623460371,0.022765023336750095,-0.01059580401883564,0.9997596833965907,0.10069802084990019,0.301384069936623
