period,total_consumption,total_saving,average_consumption,consumption_inequality,saving_rate,inflation,growth,unemployment
14,96278028.66853382,-15157130.013728254,96278.02866853382,1.0143522859396679,-0.18684617977700807,0.05011609920810677,0.14308675107114668,0.04073374187397064
15,99009528.6178104,-15595480.9254391,99009.5286178104,1.0130861287624615,-0.18696468229134264,0.05569637216501667,0.17539985813160028,0.0452608104759734
16,99006805.64758423,-15614277.878986675,99006.80564758423,1.014835756709345,-0.18723833293930228,0.043320509238121654,0.17509661765771797,0.05218585714076565
17,98023995.23362577,-15461778.004435249,98023.99523362577,1.0142590597282541,-0.18727425841185638,0.039744874000469735,0.16339658730043985,0.0655985732585467
18,96952560.87905106,-15360421.21163344,96952.56087905106,1.0138363705782267,-0.18825859052409866,0.04713157521084687,0.14972707886596542,0.06812756134822148
19,97529649.98381433,-15353369.82790348,97529.64998381434,1.0113751034574006,-0.1868345683057683,0.04120243009212452,0.1579582901103355,0.07240950350378828
20,99982421.62825043,-15805610.86390775,99982.42162825043,1.0135499442243296,-0.1877668056129659,0.046647944456908313,0.1861480669931299,0.07041799743971108
21,100650874.52951863,-15827469.319019195,100650.87452951864,1.0109906535085882,-0.18659318474354378,0.03612176375457401,0.19525932632302365,0.06936467400715465
22,102388053.4629589,-16122003.453949146,102388.05346295891,1.013096214940112,-0.18688700192329824,0.03330624684381549,0.2155878505754009,0.0701918831829967
23,100749046.5796954,-15893860.910855405,100749.04657969541,1.011682390443782,-0.18730571131955998,0.038178152480627565,0.19570714952856594,0.07065306979607126
24,100339935.78116554,-15842660.744084813,100339.93578116554,1.013935372865624,-0.187493155692091,0.026028289421724388,0.19066377712988886,0.07563078332576398
25,98271091.9536772,-15540475.54033127,98271.09195367721,1.0148240389768288,-0.18784430981012623,0.016457497978490776,0.16576952546423385,0.08341707384468455
26,96848377.36105767,-15347045.217757724,96848.37736105768,1.0154151407437708,-0.1883042253931965,0.015299770567461452,0.14844749642250438,0.07530030741518952
27,97091424.13039881,-15249777.1926733,97091.42413039881,1.0108077246439706,-0.18633272622528083,0.02101689955662632,0.1532429232379385,0.07628874665601185
28,97357171.6526075,-15391109.070166454,97357.1716526075,1.0151036923933905,-0.18777416634703117,0.014047207873449659,0.15499608274995877,0.07592722536596955
29,97979614.3277399,-15497105.305178056,97979.6143277399,1.015628495890276,-0.18788353420407053,0.014952173893357968,0.16227340700461282,0.07884259060837025
30,98736089.14760557,-15612389.389773302,98736.08914760557,1.0146404154618058,-0.1878211561234344,0.02677619188129019,0.17130852183385126,0.0766945905819355
31,100810207.36906414,-15928239.273266718,100810.20736906414,1.0158962801654146,-0.18765162531681848,0.031019074235403867,0.19608454472418418,0.07377103556293194
32,101014324.142917,-15903096.136858426,101014.324142917,1.0130007994245005,-0.1868507423688726,0.017633022243781892,0.1993150805086365,0.07391571416162418
33,102548275.28236201,-16164977.445222054,102548.27528236201,1.0123183466938726,-0.18713082100313172,0.007053543619046487,0.21724000730874554,0.07657770184220766
